iter	Passed	Remaining
656	1025	535
657	1027	533
658	1029	532
659	1031	531
660	1032	529
661	1034	528
662	1035	526
663	1037	524
664	1038	523
665	1040	521
666	1041	520
667	1043	518
668	1044	516
669	1046	515
670	1048	514
671	1050	512
672	1051	511
673	1053	509
674	1054	507
675	1055	506
676	1057	504
677	1058	502
678	1060	501
679	1061	499
680	1063	497
681	1064	496
682	1065	494
683	1067	493
684	1070	492
685	1072	490
686	1076	490
687	1078	489
688	1079	487
689	1081	485
690	1082	484
691	1083	482
692	1085	480
693	1086	479
694	1087	477
695	1089	475
696	1091	474
697	1092	472
698	1093	470
699	1094	469
700	1095	467
701	1097	465
702	1098	464
703	1099	462
704	1100	460
705	1101	458
706	1103	457
707	1105	455
708	1106	454
709	1108	452
710	1109	450
711	1110	449
712	1112	447
713	1114	446
714	1115	444
715	1116	443
716	1118	441
717	1119	439
718	1120	438
719	1122	436
720	1123	434
721	1125	433
722	1126	431
723	1127	429
724	1129	428
725	1131	426
726	1132	425
727	1134	423
728	1135	422
729	1137	420
730	1139	419
731	1141	417
732	1143	416
733	1145	415
734	1146	413
735	1148	411
736	1149	410
737	1151	408
738	1152	407
739	1153	405
740	1155	403
741	1156	402
742	1158	400
743	1160	399
744	1161	397
745	1162	395
746	1164	394
747	1165	392
748	1167	391
749	1168	389
750	1170	388
751	1171	386
752	1173	384
753	1174	383
754	1176	381
755	1177	379
756	1178	378
757	1180	376
758	1181	375
759	1182	373
760	1184	371
761	1185	370
762	1187	368
763	1188	367
764	1190	365
765	1191	363
766	1192	362
767	1194	360
768	1197	359
769	1198	358
770	1200	356
771	1202	355
772	1203	353
773	1205	351
774	1206	350
775	1207	348
776	1208	346
777	1209	345
778	1210	343
779	1212	341
780	1213	340
781	1214	338
782	1215	336
783	1216	335
784	1217	333
785	1218	331
786	1220	330
787	1221	328
788	1222	326
789	1223	325
790	1225	323
791	1226	322
792	1227	320
793	1229	318
794	1230	317
795	1231	315
796	1233	314
797	1234	312
798	1235	310
799	1237	309
800	1238	307
801	1239	306
802	1240	304
803	1242	302
804	1243	301
805	1244	299
806	1246	297
807	1247	296
808	1248	294
809	1249	293
810	1251	291
811	1253	290
812	1255	288
813	1256	287
814	1258	285
815	1259	283
816	1261	282
817	1262	280
818	1263	279
819	1265	277
820	1266	276
821	1268	274
822	1270	273
823	1271	271
824	1273	270
825	1276	268
826	1278	267
827	1280	265
828	1281	264
829	1283	262
830	1285	261
831	1287	259
832	1288	258
833	1290	256
834	1291	255
835	1293	253
836	1294	252
837	1296	250
838	1297	248
839	1298	247
840	1300	245
841	1301	244
842	1303	242
843	1304	241
844	1305	239
845	1307	237
846	1308	236
847	1310	234
848	1311	233
849	1312	231
850	1314	230
851	1315	228
852	1317	226
853	1318	225
854	1319	223
855	1321	222
856	1322	220
857	1324	219
858	1325	217
859	1326	216
860	1328	214
861	1330	212
862	1331	211
863	1333	209
864	1334	208
865	1335	206
866	1337	205
867	1338	203
868	1339	201
869	1341	200
870	1342	198
871	1344	197
872	1346	195
873	1347	194
874	1349	192
875	1350	191
876	1352	189
877	1353	188
878	1355	186
879	1356	184
880	1358	183
881	1359	181
882	1361	180
883	1363	178
884	1364	177
885	1365	175
886	1367	174
887	1368	172
888	1370	171
889	1371	169
890	1373	167
891	1374	166
892	1376	164
893	1377	163
894	1380	162
895	1382	160
896	1384	159
897	1386	157
898	1388	156
899	1390	154
900	1391	152
901	1393	151
902	1394	149
903	1396	148
904	1397	146
905	1399	145
906	1400	143
907	1401	142
908	1403	140
909	1404	138
910	1406	137
911	1407	135
912	1409	134
913	1410	132
914	1412	131
915	1414	129
916	1415	128
917	1416	126
918	1418	125
919	1419	123
920	1421	121
921	1422	120
922	1424	118
923	1425	117
924	1426	115
925	1428	114
926	1429	112
927	1431	111
928	1432	109
929	1433	107
930	1435	106
931	1436	104
932	1438	103
933	1439	101
934	1440	100
935	1442	98
936	1443	97
937	1445	95
938	1446	93
939	1447	92
940	1449	90
941	1450	89
942	1452	87
943	1453	86
944	1455	84
945	1456	83
946	1458	81
947	1460	80
948	1461	78
949	1463	77
950	1464	75
951	1465	73
952	1467	72
953	1468	70
954	1470	69
955	1471	67
956	1473	66
957	1474	64
958	1476	63
959	1477	61
960	1479	60
961	1480	58
962	1481	56
963	1483	55
964	1487	53
965	1489	52
966	1490	50
967	1491	49
968	1493	47
969	1495	46
970	1497	44
971	1498	43
972	1501	41
973	1502	40
974	1504	38
975	1505	37
976	1507	35
977	1508	33
978	1510	32
979	1511	30
980	1512	29
981	1514	27
982	1515	26
983	1517	24
984	1518	23
985	1520	21
986	1521	20
987	1523	18
988	1524	16
989	1525	15
990	1527	13
991	1528	12
992	1530	10
993	1531	9
994	1533	7
995	1534	6
996	1536	4
997	1538	3
998	1540	1
999	1542	0
